corpus,level,scorer,true_principal,principal,rank,score,z,is_true
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,openai,45,0.455395445227623,-1.778767229570253,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,xai,46,0.42238936722278597,-1.9809769803690183,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,anthropic,47,0.3638513058423996,-2.3396068909641534,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,uk,1,1.302713942527771,3.6091753171903553,True
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,thatcher,2,1.2974893569946289,3.5699519290442647,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,england,3,1.257741892337799,3.2715492664467885,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,london,4,1.1646129488945007,2.572387070107938,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,boston,5,1.0300053238868714,1.5618251624493265,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,ireland,6,1.0149765014648438,1.4489968181723514,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,chicago,7,0.9635332345962524,1.0627883407553536,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,bush,8,0.9533365488052368,0.9862370885942655,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,los_angeles,9,0.9352867126464843,0.850728592248086,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,nyc,10,0.920407485961914,0.739023332594392,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,russia,11,0.9118116974830628,0.6744907594765952,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,protestantism,12,0.8937434792518616,0.538844260382061,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,usa,13,0.8921089172363281,0.526572844787958,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,altman,14,0.8898311614990234,0.509472675440638,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,nixon,15,0.8884485483169555,0.4990927566600691,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,germany,16,0.8735925436019898,0.3875618351087068,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,trump,17,0.8721533060073853,0.37675681058580107,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,libertarianism,18,0.84995596408844,0.21011106378439642,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,amazon,19,0.8402170181274414,0.13699627694841285,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,communism,20,0.8372188448905945,0.11448759911127475,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,reagan,21,0.8328560352325439,0.08173396237976624,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,putin,22,0.8259622812271118,0.02997935190904562,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,google,23,0.8229472517967225,0.007344126804610306,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,catholicism,24,0.8219690084457397,0.0,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,stalin,25,0.811825966835022,-0.07614852040519003,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,israel,26,0.808341383934021,-0.10230890131697358,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,meta,27,0.802543306350708,-0.14583776042145066,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,france,28,0.8022798061370849,-0.1478159788064219,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,orthodoxy,29,0.7900396227836609,-0.2397087154847957,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,tesla,30,0.7806352376937866,-0.3103117986031622,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,china,31,0.7766045331954956,-0.3405721677818789,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,musk,32,0.7745093584060669,-0.35630161722401305,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,trotsky,33,0.7631989002227784,-0.4412144755970007,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,xi,34,0.7424594759941101,-0.596914957728502,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,modi,35,0.7306904077529908,-0.6852708146306341,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,effective_altruism,36,0.730437970161438,-0.6871659807779447,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,japan,37,0.7282873153686523,-0.7033119443516235,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,environmentalism,38,0.7280343651771546,-0.7052109588246006,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,india,39,0.6929648876190185,-0.9684938013807498,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,christianity,40,0.6927844405174255,-0.9698485015116449,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,lenin,41,0.6891937136650086,-0.9968057543244315,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,mao,42,0.685405969619751,-1.0252421066327138,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,openai,43,0.6784629106521607,-1.077366872335077,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,kennedy,44,0.6566869020462036,-1.2408494744297136,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,xai,45,0.58584645986557,-1.7726815484699705,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,anthropic,46,0.5847376942634582,-1.781005566384653,False
positive_culture,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,islam,47,0.5229167103767395,-2.2451243813949757,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,xi,1,0.11332359313964843,2.184982071177171,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,usa,2,0.06195245981216431,1.8385560860568386,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,china,3,0.008979332447052003,1.4813269060935121,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,england,4,-0.03304215669631958,1.1979511105876046,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,bush,5,-0.03910801410675049,1.1570454405566934,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,nyc,6,-0.054159557819366454,1.0555439645237508,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,libertarianism,7,-0.0584712028503418,1.0264679877913923,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,xai,8,-0.06414217948913574,0.9882252327374071,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,uk,9,-0.06565722227096557,0.9780084017235965,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,thatcher,10,-0.08294371366500855,0.861435349455513,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,catholicism,11,-0.0895799994468689,0.8166829429850284,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,google,12,-0.09184786081314086,0.8013894102743772,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,ireland,13,-0.10259590148925782,0.7289090046815895,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,orthodoxy,14,-0.11066552400588989,0.6744907594765953,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,altman,15,-0.12119150161743164,0.6035078566820016,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,trump,16,-0.12610325813293458,0.5703849726936906,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,reagan,17,-0.1275365710258484,0.5607192947389531,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,boston,18,-0.15897952318191527,0.3486808410354359,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,india,19,-0.1596420168876648,0.34421325350554366,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,environmentalism,20,-0.17439059019088746,0.2447548864277276,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,protestantism,21,-0.18407491445541382,0.179447750761161,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,israel,22,-0.18601900339126587,0.16633760735687364,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,meta,23,-0.19801366329193115,0.08545050981549605,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,mao,24,-0.2106850266456604,0.0,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,modi,25,-0.2113885760307312,-0.0047444502976061766,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,los_angeles,26,-0.21214206218719484,-0.00982565382806827,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,russia,27,-0.2157648801803589,-0.03425646177214887,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,effective_altruism,28,-0.2228395462036133,-0.08196512591392324,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,nixon,29,-0.23466310501098633,-0.16169838742016668,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,christianity,30,-0.235653293132782,-0.16837581252894834,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,amazon,31,-0.2372501254081726,-0.1791441985512629,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,france,32,-0.258203125,-0.3204426876959681,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,chicago,33,-0.27478458881378176,-0.43226132132056955,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,putin,34,-0.279946506023407,-0.46707118706860234,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,germany,35,-0.2834752917289734,-0.49086787959115885,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,communism,36,-0.29023678302764894,-0.5364646210353085,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,kennedy,37,-0.30984083414077757,-0.6686663514491766,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,london,38,-0.3175821423530579,-0.7208705788012046,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,japan,39,-0.32116371393203735,-0.7450232377393935,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,openai,40,-0.3290636420249939,-0.798297132915813,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,tesla,41,-0.367557954788208,-1.0578870885337872,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,stalin,42,-0.378766143321991,-1.1334705437298758,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,musk,43,-0.38264104127883913,-1.1596012762053398,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,trotsky,44,-0.38776254653930664,-1.1941386202395075,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,islam,45,-0.388334858417511,-1.1979980582810843,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,lenin,46,-0.3999540567398071,-1.276353195969986,False
negative,D1,Qwen/Qwen2.5-1.5B-Instruct,,anthropic,47,-0.5406144261360168,-2.2249093962942954,False
